Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Derek-Schatz,Derek-Schatz,0,4,4,6.0,0.0,6.0,4.0,2.051881993896236,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1012,0.16666667,0.0
Comprehensive-Prosthetics-and-Orthotics-Usa,Comprehensive-Prosthetics-and-Orthotics-Usa,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.817712104970127E-4,0,1011,0.0,0.0029676092115891372
Siddhartha-Mukherjee,Siddhartha-Mukherjee,0,10,10,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1019,0.0,0.0
Arthur-Torrey,Arthur-Torrey,5,0,5,6.0,6.0,0.0,0.0,0.0,0.0,0.001525941,0.0,0,8.337020408019317E-4,0,17,0.05,0.30863135800527025
Hugh-O'Byrne,Hugh-O'Byrne,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.205947203795761E-4,0,1013,0.0,0.0029676092115891372
Karen-Rhodes,Karen-Rhodes,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.205947203795761E-4,0,1014,0.0,0.0029676092115891372
Stacy-Lindsey,Stacy-Lindsey,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,20,5.613790471245339E-4,0,1015,0.0,0.0059352184231782745
Rosalie-Kitchen,Rosalie-Kitchen,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.205947203795761E-4,0,1016,0.0,0.0029676092115891372
Samantha-Halligan,Samantha-Halligan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.205947203795761E-4,0,1017,0.0,0.0029676092115891372
Yasser-Salama,Yasser-Salama,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.205947203795761E-4,0,1018,0.0,0.0029676092115891372
User,User,29,20,49,89.0,69.0,20.0,3.0,2.0050968399592253,11501.0,0.007629705,0.033980582,0,0.001991962533069527,0,979,0.012950972,0.6600597337931385
Gregory-Mize,Gregory-Mize,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,0,5.768287600577461E-4,0,18,0.5,0.1911229958576965
Michael-De-Rosa,Michael-De-Rosa,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.644698731653346E-4,0,19,0.0,0.18815538664610737
Niharika-Tiwari,Niharika-Tiwari,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.644698731653346E-4,0,20,0.0,0.18815538664610737
Rebecca-Billy,Rebecca-Billy,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,45,0.0,0.2967609211589137
Michele-Westfall,Michele-Westfall,5,0,5,6.0,6.0,0.0,0.0,0.0,0.0,0.001525941,0.0,0,6.268142742229638E-4,0,46,0.1,0.30863135800527025
Carl-Burnett,Carl-Burnett,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,47,0.0,0.2967609211589137
Janice-Strange,Janice-Strange,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,48,0.0,0.2967609211589137
Jaspritt-S-Hora,Jaspritt-S-Hora,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,49,0.0,0.2967609211589137
Paul-Gitau,Paul-Gitau,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,50,0.0,0.2967609211589137
Kathryn-Hedges,Kathryn-Hedges,1,0,1,3.0,3.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,51,0.0,0.2967609211589137
Ranjan-Roy,Ranjan-Roy,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,52,0.0,0.2967609211589137
Aaron-Gullison,Aaron-Gullison,0,10,10,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.004854369,20,4.7981039363461823E-4,0,1026,0.0,0.0
Hideto-Koudanshi,Hideto-Koudanshi,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,20,5.205947203795761E-4,0,1020,0.0,0.0029676092115891372
Julia-T-Lundy,Julia-T-Lundy,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,20,5.205947203795761E-4,0,1021,0.0,0.0029676092115891372
Nathan-Kliewer,Nathan-Kliewer,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,20,6.565424761961021E-4,0,1022,0.0,0.0059352184231782745
Cristina-Hartmann,Cristina-Hartmann,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,20,6.021633738694917E-4,0,1023,0.0,0.0059352184231782745
Becca-Makin,Becca-Makin,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,20,5.205947203795761E-4,0,1024,0.0,0.0029676092115891372
